# ROV MAP v1.1
point,date_utc,time_utc,lat,lng,depth_cm,temp_c,satellites,hdop,speed_kmph,fix_age_ms,pitch_deg,roll_deg,imu_acc
33,04/11/2026,17:32:45,34.0124381,-118.4565527,203.8,17.27,8,0.8,1.5,560,-0.8,-0.9,3
34,04/11/2026,17:32:50,34.0124335,-118.4564982,190.2,17.27,11,1.1,1.9,420,-1.4,1.4,2
35,04/11/2026,17:32:55,34.0124319,-118.4564467,188.8,17.25,7,0.8,1.2,220,-1.9,-4.1,3
36,04/11/2026,17:33:00,34.0124378,-118.4563986,197.5,17.22,10,0.8,2.3,560,-0.0,-1.9,3
37,04/11/2026,17:33:05,34.0124315,-118.4563485,202.8,17.17,7,0.9,0.8,180,2.5,-4.6,2
38,04/11/2026,17:33:10,34.0124315,-118.4562971,218.8,17.11,9,1.6,1.5,310,1.0,-5.0,2
39,04/11/2026,17:33:15,34.0124385,-118.4562462,238.8,17.07,8,0.9,1.3,310,0.3,-3.2,3
40,04/11/2026,17:33:20,34.0124800,-118.4567026,241.4,17.18,7,1.6,0.9,180,2.0,0.6,2
41,04/11/2026,17:33:25,34.0124801,-118.4566520,223.2,17.23,10,1.3,1.7,420,4.0,-2.1,2
42,04/11/2026,17:33:30,34.0124839,-118.4566013,210.1,17.27,8,1.1,1.4,180,2.8,-5.3,3
43,04/11/2026,17:33:35,34.0124794,-118.4565536,196.0,17.29,10,1.5,1.9,310,0.8,2.1,2
44,04/11/2026,17:33:40,34.0124797,-118.4565027,185.9,17.30,9,1.0,1.3,560,-1.5,-5.1,3
45,04/11/2026,17:33:45,34.0124777,-118.4564525,181.9,17.28,7,1.1,1.6,220,-2.1,3.0,2
46,04/11/2026,17:33:50,34.0124781,-118.4564033,185.4,17.24,7,1.1,1.3,740,-2.2,0.9,2
47,04/11/2026,17:33:55,34.0124813,-118.4563483,198.7,17.19,10,1.4,2.0,420,-2.9,2.5,2
48,04/11/2026,17:34:00,34.0124764,-118.4562973,214.5,17.14,10,1.4,2.1,220,3.4,2.8,2
49,04/11/2026,17:34:05,34.0124826,-118.4562493,236.1,17.09,8,0.8,0.9,740,-1.2,-4.3,3
50,04/11/2026,17:34:10,34.0125255,-118.4566990,237.5,17.20,8,1.1,0.8,180,2.1,0.0,2
51,04/11/2026,17:34:15,34.0125263,-118.4566535,219.4,17.25,9,1.4,2.2,220,1.9,-3.2,3
52,04/11/2026,17:34:20,34.0125250,-118.4566009,201.2,17.30,9,1.4,1.8,740,-2.5,1.1,3
53,04/11/2026,17:34:25,34.0125230,-118.4565481,187.0,17.32,11,0.8,1.6,420,-1.9,1.9,2
54,04/11/2026,17:34:30,34.0125264,-118.4565017,180.3,17.32,10,1.1,2.0,560,-2.5,5.3,3
55,04/11/2026,17:34:35,34.0125211,-118.4564503,179.7,17.30,10,1.6,1.4,220,-3.6,-4.5,3
56,04/11/2026,17:34:40,34.0125286,-118.4564029,182.7,17.26,11,1.0,1.0,310,-2.3,4.4,3
57,04/11/2026,17:34:45,34.0125242,-118.4563527,193.1,17.22,10,1.1,2.0,420,-1.3,-2.0,3
58,04/11/2026,17:34:50,34.0125210,-118.4562980,208.0,17.16,7,1.5,1.1,180,3.4,-2.3,3
59,04/11/2026,17:34:55,34.0125215,-118.4562509,229.8,17.12,7,1.0,1.5,310,3.0,-2.4,2
60,04/11/2026,17:35:00,34.0125727,-118.4567017,237.6,17.23,8,1.6,1.5,310,-2.6,-1.4,3
61,04/11/2026,17:35:05,34.0125731,-118.4566475,216.2,17.28,11,1.2,2.0,180,3.6,-1.0,2
62,04/11/2026,17:35:10,34.0125712,-118.4566017,195.3,17.32,11,0.8,1.6,310,-1.8,-2.7,3
63,04/11/2026,17:35:15,34.0125692,-118.4565521,186.0,17.34,10,0.8,1.8,180,-2.5,4.5,3
64,04/11/2026,17:35:20,34.0125704,-118.4565004,176.4,17.35,10,1.1,1.7,220,-3.4,-1.7,2
65,04/11/2026,17:35:25,34.0125686,-118.4564511,177.2,17.33,8,1.5,2.0,420,-1.0,2.7,2
66,04/11/2026,17:35:30,34.0125690,-118.4564013,174.2,17.29,9,1.2,1.4,740,0.0,1.4,2
67,04/11/2026,17:35:35,34.0125667,-118.4563468,186.2,17.24,10,1.1,1.3,180,-3.1,-0.8,3
68,04/11/2026,17:35:40,34.0125737,-118.4563001,199.4,17.19,11,1.5,2.4,220,2.4,-3.0,2
69,04/11/2026,17:35:45,34.0125702,-118.4562485,227.9,17.14,10,0.8,2.0,180,2.4,-2.9,2
70,04/11/2026,17:35:50,34.0126162,-118.4567016,234.7,17.25,9,1.2,1.5,180,-3.4,-2.2,2
71,04/11/2026,17:35:55,34.0126141,-118.4566522,219.5,17.30,7,1.2,2.4,310,3.9,1.6,2
72,04/11/2026,17:36:00,34.0126148,-118.4566021,200.5,17.34,10,1.3,1.3,180,-2.6,4.2,3
73,04/11/2026,17:36:05,34.0126116,-118.4565522,189.1,17.37,9,0.9,0.9,310,1.8,-1.5,3
74,04/11/2026,17:36:10,34.0126126,-118.4564976,183.3,17.37,11,0.8,1.6,220,-1.6,3.5,2
75,04/11/2026,17:36:15,34.0126147,-118.4564519,181.4,17.35,7,1.6,1.6,220,3.3,-0.2,2
76,04/11/2026,17:36:20,34.0126186,-118.4564028,180.4,17.31,8,0.7,1.8,420,-3.8,-4.8,3
77,04/11/2026,17:36:25,34.0126146,-118.4563483,189.2,17.26,7,1.6,2.3,310,-2.6,1.7,3
78,04/11/2026,17:36:30,34.0126113,-118.4562987,205.5,17.21,9,1.6,1.5,180,-4.2,-2.4,3
79,04/11/2026,17:36:35,34.0126144,-118.4562469,228.5,17.17,8,1.0,2.0,310,2.7,-0.7,2
80,04/11/2026,17:36:40,34.0126616,-118.4567024,249.5,17.27,10,0.9,1.4,420,-3.9,-1.0,3
81,04/11/2026,17:36:45,34.0126563,-118.4566537,226.6,17.32,7,0.9,2.0,560,-1.4,-2.5,2
82,04/11/2026,17:36:50,34.0126581,-118.4565983,212.5,17.36,9,1.0,2.0,560,3.5,1.5,2
83,04/11/2026,17:36:55,34.0126562,-118.4565521,201.0,17.38,10,1.6,1.4,310,3.5,3.5,2
84,04/11/2026,17:37:00,34.0126634,-118.4565025,195.2,17.39,9,1.4,2.0,560,-2.2,4.0,3
85,04/11/2026,17:37:05,34.0126589,-118.4564477,186.3,17.37,8,1.1,1.1,420,-3.7,-5.1,3
86,04/11/2026,17:37:10,34.0126573,-118.4564006,189.5,17.33,7,0.9,0.9,180,-0.7,5.4,3
87,04/11/2026,17:37:15,34.0126574,-118.4563529,201.8,17.28,8,1.4,2.2,740,2.2,3.1,3
88,04/11/2026,17:37:20,34.0126584,-118.4562995,216.9,17.23,9,0.9,1.2,220,-2.2,-2.4,2
89,04/11/2026,17:37:25,34.0126586,-118.4562508,243.4,17.18,11,1.2,1.8,180,1.3,5.4,2
90,04/11/2026,17:37:30,34.0127010,-118.4566969,266.9,17.28,10,1.5,0.9,310,-2.2,-4.9,2
91,04/11/2026,17:37:35,34.0127084,-118.4566510,253.0,17.33,10,1.2,2.0,740,3.7,-4.3,3
92,04/11/2026,17:37:40,34.0127027,-118.4566011,231.1,17.37,8,1.6,0.9,740,1.3,-3.3,2
93,04/11/2026,17:37:45,34.0127076,-118.4565507,220.1,17.39,11,1.0,1.1,420,0.4,-4.8,2
94,04/11/2026,17:37:50,34.0127074,-118.4564987,210.0,17.40,11,0.8,1.1,740,-1.9,5.4,3
95,04/11/2026,17:37:55,34.0127043,-118.4564536,211.7,17.38,9,1.1,0.8,310,1.2,-1.2,3
96,04/11/2026,17:38:00,34.0127026,-118.4564040,215.9,17.34,10,0.8,0.9,560,3.2,-0.4,2
97,04/11/2026,17:38:05,34.0127020,-118.4563536,219.2,17.29,10,0.8,1.8,310,2.0,-3.6,3
98,04/11/2026,17:38:10,34.0127033,-118.4562998,241.3,17.24,7,1.0,2.0,220,-1.7,3.7,2
99,04/11/2026,17:38:15,34.0127088,-118.4562501,255.8,17.19,10,0.8,1.9,740,2.7,-3.7,2
